### 现代汉语词典 ###

鬼哭狼嚎 鬼哭狼嗥
绲边 滚边
馃子 果子
过载 过傤

# H
蛤蟆 虾蟆
含糊 含胡
含蓄 涵蓄
含义 涵义
寒碜 寒伧
寒战 寒颤
行院 䘕衏
号哭 嚎哭
号啕 号咷,嚎啕,嚎咷
好高骛远 好高务远
浩渺 浩淼
呵斥 呵叱
合适 合式
合页 合叶
和事佬 和事老
饸饹 合饹
贺词 贺辞
喝彩 喝采
喝倒彩 喝倒采
黑乎乎 黑糊糊
黑压压 黑鸦鸦
轰动 哄动
弘扬 宏扬
红装 红妆
宏论 弘论
宏图 弘图,鸿图
宏愿 弘愿
宏旨 弘旨
洪福 鸿福
红运 鸿运
呼哧 呼蚩
呼啦 呼喇
呼扇 唿扇
呼哨 唿哨
狐臭 胡臭
蝴蝶 胡蝶
胡同 衚衕
糊涂 胡涂
虎踞龙盘 虎踞龙蟠
虎实 虎势
琥珀 虎魄
花把式 花把势
花销 花消
花招儿 花着儿
花子 化子
划拳 豁拳,搳拳
划策 画策
画工 画功
欢实 欢势
寰球 环球
寰宇 环宇
黄檗 黄柏
遑遑 皇皇
惶惶 皇皇
恍惚 恍忽
恢宏 恢弘
辉映 晖映
洄游 回游
会演 汇演
晦暝 晦冥
昏着儿 昏招儿
浑蛋 混蛋
浑球儿 混球儿
浑水摸鱼 混水摸鱼
火暴 火爆
火爆 火暴
火煤 火媒
伙伴 火伴
伙夫 火夫

# J
叽咕 唧咕
叽叽嘎嘎 唧唧嘎嘎
叽叽歪歪 唧唧歪歪
叽叽喳喳 唧唧喳喳
机灵 机伶
奇零 畸零
鸡奸 㚻奸
激愤 激忿
激灵 机灵
佶屈聱牙 诘屈聱牙
疾恶如仇 嫉恶如仇
蒺藜 蒺蔾
给予 给与
计划 计画
//记录 纪录
//纪录 记录
纪录片儿 记录片儿
纪录片 记录片
纪念 记念
纪要 记要
忌刻 忌克
寄予 寄与
夹克 茄克
嘉宾 佳宾
假象 假相
驾驭 驾御
架势 架式
嫁妆 嫁装
奸猾 奸滑
茧子 趼子
简捷 简截
简练 简炼
交代 交待
骄奢淫逸 骄奢淫佚
角门 脚门
侥幸 儌倖,徼倖
狡猾 狡滑
脚跟 脚根
脚丫子 脚鸭子
叫花子 叫化子
叫作 叫做
校场 较场
较劲 叫劲
较真儿 叫真儿
婕妤 倢伃
芥菜 盖菜
缙绅 搢绅
精彩 精采
精练 精炼
警诫 警戒,儆戒
警醒 警省
敬辞 敬词
纠合 鸠合
纠集 鸠集
酒窝 酒涡
酒盅 酒钟
就座 就坐
局促 侷促,跼促
角色 脚色
绝招儿 绝着儿
倔强 倔犟
玃猱 蠼猱
皲裂 龟裂

# K
咔吧 喀吧
咔嚓 喀嚓
咔嗒 咔哒,喀哒
侃大山 砍大山
侃儿 坎儿
侃爷 砍爷
看作 看做
坷垃 坷拉
可丁可卯 可钉可铆
克期 刻期
克日 刻日
刻板 刻版
刻画 刻划
缂丝 刻丝
夸大其词 夸大其辞
鲙鱼 快鱼
宽宏 宽洪
宽宏大量 宽洪大量
阔佬 阔老

# L
啦啦队 拉拉队
蜡梅 腊梅
瘌痢 癞痢,鬎鬁
蝲蝲蛄 拉拉蛄
拦柜 栏柜
蓝莹莹 蓝盈盈
褴褛 蓝缕
烂漫 烂熳,烂缦
狼藉 狼籍
琅嬛 嫏嬛
榔头 狼头
锒铛 郎当
劳什子 牢什子
老茧 老趼
姥姥 老老
姥爷 老爷
累累 儽儽
累赘 累坠
塄坎 棱坎
冷战 冷颤
愣怔 睖睁
黧黑 黎黑
里勾外连 里勾外联
厉害 利害
连贯 联贯
连枷 梿枷
连接 联接
连绵 联绵
连属 联属
连缀 联缀
莲雾 连雾
联结 连结
联袂 连袂
联翩 连翩
敛衽 裣衽
两相情愿 两厢情愿
踉跄 踉　
嘹亮 嘹喨
缭乱 撩乱
林荫道 林阴道
伶仃 零丁
囹圄 囹圉
凌迟 陵迟
凌轹 陵轹
陵夷 凌夷
令爱 令嫒
溜达 蹓跶
流连 留连
流言蜚语 流言飞语
硫黄 硫磺
榴梿 榴莲
遛弯儿 蹓弯儿
遛早儿 蹓早儿
喽啰 喽罗,偻㑩
鲁莽 卤莽
录像 录象,录相
绿豆 菉豆
绿荫 绿阴
乱乎 乱糊
沦没 沦殁
啰唆 啰嗦
罗勒 萝艻
螺钿 螺甸
螺纹 罗纹
络腮胡子 落腮胡子
落寞 落漠,落莫

# M
麻痹 痳痹
麻风 痳风
麻疹 痳疹
马蜂 蚂蜂
马虎 马糊
马扎 马劄
漫道 慢道
漫说 慢说
芒硝 硭硝
杧果 芒果
梅雨 霉雨
霉干菜 梅干菜
美元 美圆
门闩 门栓
猛醒 猛省
靡费 糜费
秘籍 秘笈
绵连 绵联
棉籽 棉子
腼腆 䩄觍
邈远 渺远
妙招儿 妙着儿
民夫 民伕
抿子 笢子
明器 冥器
冥茫 溟茫
铭旌 明旌
溟蒙 冥蒙
摹效 模效
摹写 模写
模仿 摹仿
模糊 模胡
模拟 摹拟
摩擦 磨擦
摩拳擦掌 磨拳擦掌
磨炼 磨练
磨难 魔难
抹杀 抹煞
脉脉 眽眽
莫名其妙 莫明其妙
镆铘 莫邪
磨不开 抹不开
磨得开 抹得开
磨坊 磨房
磨叽 磨唧
谋划 谋画
木版 木板
木樨 木犀

# N
那么 那末
囊膪 囊揣
内讧 内哄
泥子 腻子
蔫乎乎 蔫呼呼
碾坊 碾房
念叨 念道
臲卼 臬兀
凝练 凝炼
牛仔裤 牛崽裤
女红 女工
暖乎乎 暖呼呼

# O
藕荷 藕合

# P
扒手 掱手
爬灰 扒灰
爬犁 扒犁
排叉儿 排杈儿
攀缘 攀援
盘根错节 蟠根错节
盘踞 盘据,蟠踞
盘曲 蟠曲
盘陀 盘陁
磐石 盘石
蹒跚 盘跚
彷徨 旁皇
佩戴 佩带
披星戴月 披星带月
劈头 辟头
噼里啪啦 劈里啪啦
噼啪 劈啪
皮黄 皮簧
疲沓 疲塌
骈阗 骈填
胼胝 跰䟡
片段 片断
剽悍 慓悍
漂泊 飘泊
漂浮 飘浮
漂流 飘流
缥缈 飘渺
飘零 漂零
飘扬 飘飏
飘摇 飘飖
平话 评话
凭空 平空
叵耐 叵奈
扑哧 噗嗤
扑通 噗通
噗噜噜 噗碌碌
蒲绒 蒲茸

# Q
嘁里咔嚓 嘁里喀嚓
嘁嘁喳喳 嘁嘁嚓嚓
气门芯 气门心
芊绵 芊眠
迁就 牵就
牵连 牵联
谦辞 谦词
遣词 遣辞
憔悴 蕉萃
窃窃 切切
青冈 青㭎
清澈 清彻
清凌凌 清泠泠
情愫 情素
秋千 鞦韆
曲蟮 蛐蟮
屈服 屈伏
取精用宏 取精用弘
取消 取销
拳拳 惓惓
劝诫 劝戒

# R
热乎 热呼
热乎乎 热呼呼
热衷 热中
人才 人材
人丹 仁丹
日食 日蚀
日元 日圆
融合 融和
融化 溶化
入座 入坐

# S
桑葚 桑椹
色彩 色采
杀一儆百 杀一警百
沙狐球 沙壶球
刹车 煞车
砂锅 沙锅
砂锅浅儿 沙锅浅儿
砂姜 砂礓
砂浆 沙浆
砂浅儿 沙浅儿
煞风景 杀风景
鲨鱼 沙鱼
山楂 山查
芟夷 芟荑
芟秋 删秋
舢板 舢舨
煽动 扇动
善作善成 善做善成
尚方宝剑 上方宝剑
//上首 上手
绱鞋 上鞋
艄公 梢公
奢靡 奢糜
申斥 申饬
申饬 申敕
申冤 伸冤
申雪 伸雪
身份 身分
深省 深醒
神采 神彩
神经元 神经原
神侃 神砍
神神道道 神神叨叨
湿漉漉 湿渌渌
什不闲儿 十不闲儿
什锦 十锦
拾遗补阙 拾遗补缺
史册 史策
似的 是的
视域 视阈
收服 收伏
手版 手板
首座 首坐
授予 授与
书简 书柬
树荫 树阴
树荫凉儿 树阴凉儿
唰啦 刷拉
水涨船高 水长船高
思维 思惟
死乞白赖 死气白赖
死心塌地 死心踏地
夙愿 宿愿
宿仇 夙仇
宿敌 夙敌
宿诺 夙诺
宿嫌 夙嫌
宿怨 夙怨
宿志 夙志
尿脬 尿泡
损招儿 损着儿

# T
踏实 塌实
唐花 堂花
棠棣 唐棣
糖原 糖元
体己 梯己
倜傥 俶傥
惕厉 惕励
甜菜 菾菜
跳梁 跳踉
婷婷 亭亭
停匀 亭匀
铤而走险 挺而走险
通脱 通侻
同人 同仁
铜圆 铜元
瞳仁 瞳人
统率 统帅
透彻 透澈
图像 图象
荼䕷 酴醾
团弄 抟弄
推诿 推委
褪色 退色
托词 托辞

# W
哇啦 哇喇
纨绔 纨袴
玩意儿 玩艺儿
挽词 挽辞
婉辞 婉词
婉转 宛转
逶迤 委蛇
微词 微辞
//圩子 围子
//围子 圩子
唯独 惟独
唯恐 惟恐
唯利是图 惟利是图
唯命是从 惟命是从
唯命是听 惟命是听
唯其 惟其
唯我独尊 惟我独尊
唯一 惟一
唯有 惟有
帷子 围子
委婉 委宛
诿过 委过
诿责 委责
诿罪 委罪
萎靡 委靡
猥辞 猥词
猥琐 委琐
温暾 温吞
文辞 文词
文身 纹身
乌拉 乌喇
乌七八糟 污七八糟
乌涂 兀秃
乌贼 乌鲗
呜呼 乌呼,於乎,於戏
无动于衷 无动于中
无须 无需
毋宁 无宁
毋庸 无庸
五倍子 五棓子
五彩缤纷 五采缤纷
五劳七伤 五痨七伤
武功 武工
珷玞 碔砆
乌拉 靰鞡
杌陧 兀臬,阢陧

# X
唏嘘 欷歔
息肉 瘜肉
稀罕 希罕
稀奇 希奇
稀少 希少
稀世 希世
稀有 希有
傒倖 奚幸
翕动 噏动
嬉皮笑脸 嘻皮笑脸
洗练 洗炼
蟢子 喜子
潟卤 舄卤
下三烂 下三滥
//下首 下手
贤惠 贤慧
娴雅 闲雅
显摆 显白
险巇 崄巇
香醇 香纯
香菇 香菰
襄礼 相礼
翔实 详实
想象 想像
想象力 想像力
相貌 像貌
消纳 销纳
消融 消溶
消歇 销歇
消夜 宵夜
销魂 消魂
潇洒 萧洒
小题大做 小题大作
笑窝 笑涡
泄露 泄漏
卸载 卸傤
谢词 谢辞
信口开河 信口开合
惺忪 惺松
汹汹 讻讻
秀外慧中 秀外惠中
虚辞 虚词
嘘唏 歔欷
序文 叙文
序言 叙言
旋涡 漩涡
茓子 踅子
雪里蕻 雪里红
獯鬻 荤粥
训诫 训戒
训谕 训喻

# Y
丫杈 桠杈
丫鬟 丫环
丫枝 桠枝
压队 押队
压服 压伏
押宝 压宝
押题 压题
押韵 压韵
鸦片 雅片
言辞 言词
宴尔 燕尔
扬琴 洋琴
扬扬 洋洋
阳桃 杨桃,羊桃
佯狂 阳狂
邀功 要功
邀击 要击
邀买 要买
杳渺 杳眇
要么 要末
夜宵 夜消
一倡百和 一唱百和
一锤定音 一槌定音
一股脑儿 一古脑儿
一厢情愿 一相情愿
衣襟 衣衿
衣着 衣著
义无反顾 义无返顾
义正词严 义正辞严
阴招儿 阴着儿
荫翳 阴翳
姻娅 姻亚
氤氲 烟煴
殷勤 慇懃
银圆 银元
淫雨 霪雨
印纽 印钮
盈利 赢利
盈余 赢余
影像 影象
幽婉 幽宛
幽娴 幽闲
悠谬 悠缪
悠闲 幽闲
莜麦 油麦
莜麦菜 油麦菜
㘥子 游子
黝黯 黝暗
//右首 右手
迂回 纡回
瘀滞 淤滞
余晖 余辉
鱼汛 渔汛
谀辞 谀词
渔鼓 鱼鼓
渔鼓道情 鱼鼓道情
渔具 鱼具
渔网 鱼网
瑜伽 瑜珈
与会 预会
与闻 预闻
驭手 御手
预备 豫备
原来 元来
原煤 元煤
原配 元配
原原本本 源源本本,元元本本
陨灭 殒灭
蕴含 蕴涵
鼋鱼 元鱼
缘故 原故
缘由 原由
约莫 约摸
月食 月蚀
月牙儿 月芽儿
云板 云版
芸豆 云豆

# Z
杂沓 杂遝
再接再厉 再接再砺
糟蹋 糟踏
澡堂 澡塘
造型 造形
怎的 怎地
赠予 赠与
咋呼 咋唬
挓挲 扎煞
札记 劄记
旃檀 栴檀
崭新 斩新
辗转 展转
战栗 颤栗
